=== Metropolist-Hastings Random Walk
#sample mean_deg_wd     mean_deg_wod    stdev_deg_wd    stdev_deg_wod   real_avg_deg    mean_inc_wd     mean_inc_wod    stdev_inc_wd    stdev_inc_wod   real_avg_inc
100	4.7147000	9.4749736	1.5126219	1.7630375	4.7260410	3162.9900000	3191.7044844	376.6039165	244.3814675	3192.1867510	
300	4.7693333	9.6634224	1.2350215	1.4533937	4.7260410	3173.5933333	3196.5070123	307.9245004	189.3184304	3192.1867510	
1000	4.7524456	9.6963565	1.0489588	1.2211034	4.7260410	3183.1418889	3193.7378150	263.4674100	158.3385955	3192.1867510	
3000	4.7470842	9.7438205	0.9176915	1.0706355	4.7260410	3185.9713333	3192.0935662	231.3617780	138.2860162	3192.1867510	
10000	4.7377313	9.7515814	0.8240070	0.9601941	4.7260410	3187.5197067	3191.6779911	207.9077145	124.0416063	3192.1867510	

# ReWeighted Random Walk
#sample mean_biased_deg mean_rw_deg     std_biased_deg  std_rw_deg      real_avg_deg    mean_biased_inc mean_rw_inc     std_biased_inc  stdev_rw_inc    real_avg_inc
100	11.5470000	4.6677210	1.0491497	0.6651168	4.7260410	3192.6400000	3212.1853383	135.3420496	192.7857416	3192.1867510	
300	11.5482167	4.7097547	0.8602813	0.5369915	4.7260410	3193.5950000	3206.8656926	112.3285255	165.2979182	3192.1867510	
1000	11.5521478	4.7125895	0.7266858	0.4565250	4.7260410	3192.7713333	3203.5358752	94.7815184	139.1035415	3192.1867510	
3000	11.5624975	4.7134472	0.6384197	0.4012931	4.7260410	3191.8958333	3200.3048055	82.9010441	121.8401933	3192.1867510	
10000	11.5701352	4.7140413	0.5732770	0.3598573	4.7260410	3191.0665267	3198.2996921	74.4321315	109.3907753	3192.1867510	
